gpu,gpu_full_name,kernel,seq_len,head_dim,duration_mean_ns,duration_std_ns,duration_median_ns,duration_min_ns,duration_max_ns,kernels_per_iter,data_source,grid_x,grid_y,grid_z,block_x,block_y,block_z,registers_per_thread,static_shared_mem_bytes,dynamic_shared_mem_bytes,memcpy_h2d_bytes,memcpy_h2d_duration_ns,memcpy_d2h_bytes,memcpy_d2h_duration_ns
a100,NVIDIA A100-SXM4-40GB,cudnn,1024,128,32595.25,49.117340704630344,32576.0,32544.0,32736.0,1.0,kernel_table,16.0,1.0,1.0,128.0,1.0,1.0,203.0,0.0,40960.0,15728640.0,1491328.0,5242880.0,300384.0
a100,NVIDIA A100-SXM4-40GB,flash,1024,128,25484.8,168.17835144493728,25488.0,25184.0,25952.0,2.0,kernel_table,16.0,8.0,1.0,128.0,1.0,1.0,240.0,0.0,81920.0,15728640.0,1487966.0,5242880.0,300096.0
a100,NVIDIA A100-SXM4-40GB,math,1024,128,157928.0,207.09113173215616,157952.0,157504.0,158336.0,15.0,kernel_table,256.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,15728640.0,1492672.0,5242880.0,305280.0
a100,NVIDIA A100-SXM4-40GB,mea,1024,128,59940.8,77.18849109740866,59936.0,59808.0,60096.0,1.0,kernel_table,16.0,1.0,1.0,32.0,8.0,1.0,124.0,0.0,52224.0,15728640.0,1489725.0,5242880.0,299679.0
a100,NVIDIA A100-SXM4-40GB,cudnn,1024,64,34990.5,42.14573712600999,34976.0,34944.0,35136.0,1.0,kernel_table,8.0,1.0,1.0,128.0,1.0,1.0,233.0,0.0,40960.0,7864320.0,851874.0,2621440.0,165856.0
a100,NVIDIA A100-SXM4-40GB,flash,1024,64,19019.25,63.37762763160614,19008.0,18944.0,19168.0,2.0,kernel_table,16.0,4.0,1.0,128.0,1.0,1.0,254.0,0.0,73728.0,7864320.0,854915.0,2621440.0,165248.0
a100,NVIDIA A100-SXM4-40GB,math,1024,64,127185.6,183.5252456461336,127200.0,126816.0,127488.0,15.0,kernel_table,128.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,7864320.0,854720.0,2621440.0,163744.0
a100,NVIDIA A100-SXM4-40GB,mea,1024,64,66830.3,51.32773949927333,66816.0,66784.0,67008.0,1.0,kernel_table,16.0,1.0,1.0,32.0,4.0,1.0,128.0,0.0,18944.0,7864320.0,854976.0,2621440.0,165216.0
a100,NVIDIA A100-SXM4-40GB,cudnn,2048,128,59099.3,75.74201364882602,59104.0,58976.0,59328.0,1.0,kernel_table,32.0,1.0,1.0,128.0,1.0,1.0,203.0,0.0,40960.0,31457280.0,2765952.0,10485760.0,695331.0
a100,NVIDIA A100-SXM4-40GB,flash,2048,128,37913.65,124.46993930051418,37888.0,37696.0,38112.0,2.0,kernel_table,32.0,6.0,1.0,128.0,1.0,1.0,240.0,0.0,81920.0,31457280.0,2761409.0,10485760.0,699553.0
a100,NVIDIA A100-SXM4-40GB,math,2048,128,353187.4,947.3578993567764,353296.5,351872.0,354912.0,15.0,kernel_table,512.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,31457280.0,2768611.0,10485760.0,697760.0
a100,NVIDIA A100-SXM4-40GB,mea,2048,128,114912.0,130.08822916936433,114928.0,114688.0,115104.0,1.0,kernel_table,32.0,1.0,1.0,32.0,8.0,1.0,124.0,0.0,52224.0,31457280.0,2766210.0,10485760.0,699873.0
a100,NVIDIA A100-SXM4-40GB,cudnn,2048,64,63771.2,78.572527675156,63744.0,63712.0,64096.0,1.0,kernel_table,16.0,1.0,1.0,128.0,1.0,1.0,233.0,0.0,40960.0,15728640.0,1490464.0,5242880.0,299520.0
