GpuName,SeqLen,HeadDim,Run,Range,Action,dram__bytes_read.sum,dram__bytes_write.sum,dram__cycles_active.avg,gpu__time_duration.sum,l1tex__cycles_active.avg,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,lts__cycles_active.avg,lts__t_sector_hit_rate.pct,lts__t_sectors.sum,lts__t_sectors_op_read.sum,lts__t_sectors_op_write.sum,sm__cycles_active.avg,sm__cycles_elapsed.avg,sm__inst_executed.sum,sm__inst_executed_pipe_lsu.avg,sm__pipe_alu_cycles_active.avg,sm__pipe_fma_cycles_active.avg,sm__pipe_fp64_cycles_active.avg,sm__pipe_shared_cycles_active.avg,sm__pipe_tensor_cycles_active.avg,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__inst_executed_pipe_alu.sum,smsp__inst_executed_pipe_fma.sum,smsp__inst_executed_pipe_lsu.sum,smsp__inst_executed_pipe_tensor.sum,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,smsp__inst_executed_pipe_xu.sum,smsp__issue_active.avg.pct_of_peak_sustained_elapsed,smsp__pcsamp_warps_issue_stalled_lg_throttle,smsp__pcsamp_warps_issue_stalled_long_scoreboard,smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,smsp__pcsamp_warps_issue_stalled_membar,smsp__pcsamp_warps_issue_stalled_not_selected,smsp__pcsamp_warps_issue_stalled_short_scoreboard,smsp__warps_issue_stalled_long_scoreboard.avg,smsp__warps_issue_stalled_math_pipe_throttle.avg,smsp__warps_issue_stalled_mio_throttle.avg,smsp__warps_issue_stalled_not_selected.avg,smsp__warps_issue_stalled_short_scoreboard.avg,smsp__warps_issue_stalled_wait.avg
t4,256,64,0,0,unrolled_elementwise_kernel,84960.0,1504.0,1351.0,8864.0,3093.825,1024.0,1765.34375,76.88711516533637,8770.0,6236.0,2068.0,3093.825,5139.6,25472.0,35.2,422.4,230.4,0.0,25.6,0.0,0.0,0.0,0.0,16384.0,8448.0,4608.0,1408.0,0.0,0.0,0.0,3.175344384777025,0.0,4.0,0.0,0.0,0.0,6.0,925.0125,0.0,0.0,0.0,79.98125,588.8125
t4,256,64,0,0,unrolled_elementwise_kernel,84512.0,1280.0,1340.5,9408.0,3351.55,1024.0,1816.125,76.63700661647273,8766.0,6230.0,2068.0,3351.55,5459.2,25472.0,35.2,422.4,230.4,0.0,25.6,0.0,0.0,0.0,0.0,16384.0,8448.0,4608.0,1408.0,0.0,0.0,0.0,2.9894490035169987,0.0,64.0,0.0,0.0,0.0,2.0,923.975,0.0,0.0,0.0,79.9,588.8125
t4,256,64,0,0,unrolled_elementwise_kernel,85408.0,928.0,1349.0,8960.0,3106.975,1024.0,1872.65625,76.84655842670935,8746.0,6218.0,2064.0,3106.975,5194.0,25472.0,35.2,422.4,230.4,0.0,25.6,0.0,0.0,0.0,0.0,16384.0,8448.0,4608.0,1408.0,0.0,0.0,0.0,3.1420870234886404,0.0,0.0,0.0,0.0,0.0,19.0,927.08125,0.0,0.0,0.0,79.95625,588.8125
t4,256,64,0,0,vectorized_elementwise_kernel,76992.0,384.0,1209.0,4160.0,461.475,2048.0,809.03125,58.783906790460584,5493.0,2824.0,2125.0,461.475,2392.8,1600.0,8.0,12.8,41.6,0.0,0.0,0.0,0.0,0.0,16384.0,0.0,256.0,832.0,320.0,0.0,0.0,0.0,0.4680708793045803,0.0,0.0,0.0,0.0,0.0,0.0,168.8625,0.0,0.0,0.0,11.2,31.6125
t4,256,64,0,0,vectorized_elementwise_kernel,77440.0,2304.0,1246.0,4192.0,461.275,2048.0,768.65625,59.3014705882353,5440.0,2828.0,2068.0,461.275,2411.0,1600.0,8.0,12.8,41.6,0.0,0.0,0.0,0.0,0.0,16384.0,0.0,256.0,832.0,320.0,0.0,0.0,0.0,0.464537536291995,0.0,0.0,0.0,0.0,0.0,0.0,170.33125,0.0,0.0,0.0,11.2,31.6
t4,256,64,0,0,volta_sgemm_128x32_tn,202976.0,15424.0,3412.5,18080.0,3690.6,19542.0,5301.9375,92.69650482365965,31615.0,22600.0,8215.0,3690.6,10524.2,234240.0,867.2,2809.6,6720.0,0.0,0.0,0.0,0.0,4194304.0,65536.0,0.0,56192.0,134400.0,34688.0,0.0,0.0,0.0,13.979209821174054,0.0,42.0,7.0,0.0,11.0,5.0,1132.29375,514.2125,310.9625,573.89375,352.65625,1643.7
t4,256,64,0,0,softmax_warp_forward,301600.0,6208.0,4809.5,7808.0,3040.875,8192.0,2440.0625,54.99181669394435,18941.0,9838.0,8207.0,3040.875,4503.8,86016.0,224.0,985.6,1600.0,0.0,0.0,0.0,237568.0,589824.0,65536.0,0.0,19712.0,32000.0,8960.0,0.0,6.820906789821928,6144.0,12.11421466317332,0.0,38.0,0.0,0.0,0.0,6.0,1077.41875,65.55,1.43125,110.80625,642.26875,1063.7375
t4,256,64,0,0,vectorized_elementwise_kernel,292480.0,3488.0,4624.5,5152.0,1614.2,8192.0,1499.28125,29.600202856901358,11831.0,9022.0,2061.0,1614.2,2976.2,10240.0,32.0,320.0,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6400.0,1792.0,1280.0,0.0,0.0,0.0,2.311672602647672,0.0,22.0,0.0,0.0,1.0,0.0,1125.2,3.4375,0.0,5.33125,45.8625,137.2125
t4,256,64,0,0,reduce_kernel,132128.0,224.0,2068.0,11264.0,2136.375,2048.0,1525.84375,63.02024107345918,8794.0,8334.0,32.0,2136.375,6556.8,62208.0,70.4,1779.2,460.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35584.0,9216.0,2816.0,0.0,0.0,0.0,6.36896046852123,0.0,1.0,2.0,0.0,7.0,0.0,890.00625,266.5875,6.03125,319.75625,277.33125,919.35625
t4,256,64,0,0,vectorized_elementwise_kernel,4960.0,448.0,84.5,3520.0,21.05,0.0,152.875,86.53017241379311,928.0,592.0,47.0,21.05,2015.6,112.0,0.2,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,20.0,8.0,0.0,0.0,0.0,0.03969041476483429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8875,2.7375
t4,256,64,0,0,elementwise_kernel,348448.0,8480.0,5577.0,7168.0,2661.325,10240.0,2293.40625,55.46214126316882,19269.0,10363.0,8237.0,2661.325,4125.0,89088.0,230.4,1587.2,1228.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31744.0,24576.0,9216.0,0.0,0.0,0.0,15.103181818181818,0.0,7.0,6.0,0.0,7.0,0.0,5122.10625,628.8875,19.49375,796.4,162.86875,1393.2625
t4,256,64,0,0,vectorized_elementwise_kernel,299648.0,10304.0,4843.0,5120.0,1527.975,8192.0,1609.0,39.862296492863805,13943.0,9018.0,4149.0,1527.975,2932.6,7680.0,32.0,76.8,102.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,2048.0,1280.0,0.0,3.4917820364181957,2048.0,1.8004501125281318,0.0,19.0,0.0,0.0,0.0,0.0,1054.06875,0.63125,7.65625,2.775,56.51875,210.75625
t4,256,64,0,0,volta_sgemm_64x32_sliced1x4_nn,451552.0,12992.0,7258.5,17952.0,7026.275,24576.0,4197.0,70.50855839767014,36397.0,27262.0,8207.0,7026.275,10468.0,338432.0,1177.6,5747.2,7513.6,0.0,0.0,0.0,196608.0,4194304.0,262144.0,0.0,114944.0,150272.0,47104.0,0.0,0.0,0.0,20.34390523500191,0.0,34.0,18.0,0.0,20.0,12.0,1171.09375,742.93125,1507.79375,878.475,813.19375,3318.34375
t4,256,64,0,0,splitKreduce_kernel,311296.0,2880.0,4909.0,5664.0,1573.9,8192.0,1582.78125,31.857338378552452,12421.0,9494.0,2063.0,1573.9,3269.8,46592.0,140.8,1075.2,512.0,0.0,0.0,0.0,65536.0,0.0,16384.0,0.0,21504.0,10240.0,5632.0,0.0,0.0,0.0,9.786531286317206,0.0,32.0,0.0,0.0,0.0,0.0,1989.63125,155.65625,67.59375,195.5625,8.38125,970.6
t4,256,64,0,0,vectorized_elementwise_kernel,77888.0,160.0,1219.5,4288.0,485.275,2048.0,687.8125,50.297755382501144,4366.0,2864.0,1038.0,485.275,2466.2,1920.0,8.0,19.2,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,512.0,320.0,0.0,1.0380342226907795,512.0,0.5352363960749331,0.0,0.0,0.0,0.0,0.0,0.0,172.73125,0.0,0.0,0.0,13.2,51.6
