GpuName,SeqLen,HeadDim,Run,Range,Action,dram__cycles_active.avg,gpu__time_duration.sum,lts__cycles_active.avg,sm__cycles_active.avg,sm__cycles_elapsed.avg,sm__inst_executed.sum,sm__inst_executed_pipe_lsu.avg,sm__pipe_alu_cycles_active.avg,sm__pipe_fma_cycles_active.avg,sm__pipe_fp64_cycles_active.avg,sm__pipe_shared_cycles_active.avg,sm__pipe_tensor_cycles_active.avg,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__inst_executed_pipe_alu.sum,smsp__inst_executed_pipe_fma.sum,smsp__inst_executed_pipe_lsu.sum,smsp__inst_executed_pipe_tensor.sum,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,smsp__inst_executed_pipe_xu.sum,smsp__issue_active.avg.pct_of_peak_sustained_elapsed,smsp__pcsamp_warps_issue_stalled_lg_throttle,smsp__pcsamp_warps_issue_stalled_long_scoreboard,smsp__pcsamp_warps_issue_stalled_math_pipe_throttle,smsp__pcsamp_warps_issue_stalled_not_selected,smsp__pcsamp_warps_issue_stalled_short_scoreboard,smsp__warps_issue_stalled_long_scoreboard.avg,smsp__warps_issue_stalled_math_pipe_throttle.avg,smsp__warps_issue_stalled_mio_throttle.avg,smsp__warps_issue_stalled_not_selected.avg,smsp__warps_issue_stalled_short_scoreboard.avg,smsp__warps_issue_stalled_wait.avg
t4,256,64,0,0,fmha_cutlassF_f16_aligned_64x64_rf_sm75,2539.5,52192.0,2802.96875,2928.05,30487.0,94482.0,214.375,1651.9,1180.5,204.8,1653.875,1653.875,154136.0,8192.0,197656.0,0.0,33038.0,23610.0,8575.0,8192.0,0.7859087479909469,4792.0,1.9442303276806505,0.0,12.0,2.0,0.0,8.0,414.7,24.7375,6.5625,0.0,226.09375,947.08125
t4,256,64,1,0,fmha_cutlassF_f16_aligned_64x64_rf_sm75,2562.0,52352.0,2791.90625,2938.275,30588.8,94482.0,214.375,1651.9,1180.5,204.8,1653.875,1653.875,154136.0,8192.0,197656.0,0.0,33038.0,23610.0,8575.0,8192.0,0.7832932315095721,4792.0,1.9377598990480176,0.0,22.0,3.0,0.0,5.0,409.75,24.76875,6.5625,0.0,225.65,947.075
t4,256,64,2,0,fmha_cutlassF_f16_aligned_64x64_rf_sm75,2636.0,52128.0,2702.375,2925.9,30460.6,94482.0,214.375,1651.9,1180.5,204.8,1654.15,1654.15,154136.0,8192.0,197656.0,0.0,33038.0,23610.0,8575.0,8192.0,0.7865898898905472,4792.0,1.9459153792111776,0.0,15.0,1.0,0.0,8.0,403.78125,24.75625,6.575,0.0,224.64375,947.06875
t4,256,64,3,0,fmha_cutlassF_f16_aligned_64x64_rf_sm75,2554.0,52160.0,2834.65625,2927.275,30477.6,94482.0,214.375,1651.9,1180.5,204.8,1653.875,1653.875,154136.0,8192.0,197656.0,0.0,33038.0,23610.0,8575.0,8192.0,0.7861511405097514,4792.0,1.944829973488726,0.0,17.0,1.0,0.0,10.0,412.2875,24.74375,6.5625,0.0,225.75625,947.05625
t4,256,64,4,0,fmha_cutlassF_f16_aligned_64x64_rf_sm75,2579.0,52288.0,2666.6875,2933.2,30541.8,94482.0,214.375,1651.9,1180.5,204.8,1653.925,1653.925,154136.0,8192.0,197656.0,0.0,33038.0,23610.0,8575.0,8192.0,0.7844986215612701,4792.0,1.9407418685211741,0.0,15.0,3.0,0.0,12.0,405.15625,24.7375,6.5625,0.0,224.54375,947.06875
t4,512,64,0,0,fmha_cutlassF_f16_aligned_64x64_rf_sm75,4273.5,93376.0,4667.125,10674.95,54580.8,357857.0,826.175,6258.75,4525.0,409.6,6615.625,6615.625,607594.0,16384.0,789738.0,0.0,125175.0,90500.0,33047.0,32768.0,1.634640752792191,17844.0,4.106984507372555,0.0,65.0,5.0,0.0,33.0,1583.225,96.99375,25.375,0.0,853.95,3638.05625
t4,512,64,1,0,fmha_cutlassF_f16_aligned_64x64_rf_sm75,4320.0,93536.0,5226.875,10691.75,54671.0,357857.0,826.175,6258.75,4525.0,409.6,6615.6,6615.6,607594.0,16384.0,789738.0,0.0,125175.0,90500.0,33047.0,32768.0,1.6319438093321874,17844.0,4.100208520056337,0.0,61.0,0.0,0.0,35.0,1597.15,97.1125,25.4375,0.0,853.1875,3638.075
t4,512,64,2,0,fmha_cutlassF_f16_aligned_64x64_rf_sm75,4271.0,93536.0,5197.0,10694.95,54682.6,357857.0,826.175,6258.75,4525.0,409.6,6615.6,6615.6,607594.0,16384.0,789738.0,0.0,125175.0,90500.0,33047.0,32768.0,1.6315976197181554,17844.0,4.099338729321576,0.0,61.0,4.0,0.0,37.0,1583.625,97.08125,25.375,0.0,850.7625,3638.05
t4,512,64,3,0,fmha_cutlassF_f16_aligned_64x64_rf_sm75,4304.5,93440.0,5259.8125,10680.725,54611.6,357857.0,826.175,6258.75,4525.0,409.6,6615.475,6615.475,607594.0,16384.0,789738.0,0.0,125175.0,90500.0,33047.0,32768.0,1.6337188436156422,17844.0,4.104668238982194,0.0,67.0,1.0,0.0,31.0,1595.16875,97.0375,25.3875,0.0,852.09375,3638.05625
t4,512,64,4,0,fmha_cutlassF_f16_aligned_64x64_rf_sm75,4265.5,93504.0,5186.34375,10689.55,54654.6,357857.0,826.175,6258.75,4525.0,409.6,6615.5,6615.5,607594.0,16384.0,789738.0,0.0,125175.0,90500.0,33047.0,32768.0,1.6324335005653687,17844.0,4.101438854186107,0.0,57.0,6.0,0.0,26.0,1586.3875,97.1125,25.4,0.0,851.5375,3638.075
